Estado;inicio;varinicio;varfim;PT_V;ID;inteiro;real;literal;leia;escreva;LIT;RCB;NUM;OPM;se;AB_P;FC_P;entao;OPR;fimse;repita;fimrepita;fim;EOF;P;V;LV;D;L;TIPO;A;ES;ARG;CMD;LD;OPRD;COND;CAB;EXP_R;CP;R;CABR;CPR
57;Er;Er;Er;Er;R27;Er;Er;Er;R27;R27;Er;Er;Er;Er;R27;Er;Er;Er;Er;R27;R27;R27;R27;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
58;Er;Er;Er;Er;R28;Er;Er;Er;R28;R28;Er;Er;Er;Er;R28;Er;Er;Er;Er;R28;R28;R28;R28;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
59;Er;Er;Er;Er;R29;Er;Er;Er;R29;R29;Er;Er;Er;Er;R29;Er;Er;Er;Er;R29;R29;R29;R29;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
60;Er;Er;Er;Er;R34;Er;Er;Er;R34;R34;Er;Er;Er;Er;R34;Er;Er;Er;Er;Er;R34;Er;R34;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
61;Er;Er;Er;Er;R35;Er;Er;Er;R35;R35;Er;Er;Er;Er;R35;Er;Er;Er;Er;Er;R35;Er;R35;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
62;Er;Er;Er;Er;R36;Er;Er;Er;R36;R36;Er;Er;Er;Er;R36;Er;Er;Er;Er;Er;R36;Er;R36;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
63;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;S69;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
64;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;S70;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
65;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;S71;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
66;Er;Er;Er;Er;R18;Er;Er;Er;R18;R18;Er;Er;Er;Er;R18;Er;Er;Er;Er;R18;R18;R18;R18;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
67;Er;Er;Er;Er;S55;Er;Er;Er;Er;Er;Er;Er;S56;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;68;Er;Er;Er;Er;Er;Er;Er
68;Er;Er;Er;R19;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
69;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;S72;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
70;Er;Er;Er;Er;S55;Er;Er;Er;Er;Er;Er;Er;S56;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;73;Er;Er;Er;Er;Er;Er;Er
71;Er;Er;Er;Er;R33;Er;Er;Er;R33;R33;Er;Er;Er;Er;R33;Er;Er;Er;Er;Er;Er;R33;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
72;Er;Er;Er;Er;R25;Er;Er;Er;R25;R25;Er;Er;Er;Er;R25;Er;Er;Er;Er;R25;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
73;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;R26;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
74;Er;Er;R6;Er;Er;R6;R6;R6;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
